question,incorrect_0,incorrect_1,incorrect_2,incorrect_3,correct_0,correct_1,correct_2
"Mountkirk Games has deployed their new backend on Google Cloud Platform (GCP). You want to create a through testing process for new versions of the backend before they are released to the public. You want the testing environment to scale in an economical way. How should you design the process?
",Use the existing infrastructure to test the GCP-based backend at scale,Build stress tests into each component of your application using resources internal to GCP to simulate load,"Create a set of static environments in GCP to test different levels of load ג€"" for example, high, medium, and low",,Create a scalable environment in GCP for simulating production load,,
"Auditors visit your teams every 12 months and ask to review all the Google Cloud Identity and Access Management (Cloud IAM) policy changes in the previous 12 months. You want to streamline and expedite the analysis and audit process.
What should you do?
",Create custom Google Stackdriver alerts and send them to the auditor,Use cloud functions to transfer log entries to Google Cloud SQL and use ACLs and views to limit an auditor's view,Enable Google Cloud Storage (GCS) log export to audit logs into a GCS bucket and delegate access to the bucket,,Enable Logging export to Google BigQuery and use ACLs and views to scope the data shared with the auditor,,
"TerramEarth has equipped all connected trucks with servers and sensors to collect telemetry data. Next year they want to use the data to train machine learning models. They want to store this data in the cloud while reducing costs.
What should they do?
","Have the vehicle's computer compress the data in hourly snapshots, and store it in a Google Cloud Storage (GCS) Nearline bucket","Push the telemetry data in real-time to a streaming dataflow job that compresses the data, and store it in Google BigQuery","Push the telemetry data in real-time to a streaming dataflow job that compresses the data, and store it in Cloud Bigtable",,"Have the vehicle's computer compress the data in hourly snapshots, and store it in a GCS Coldline bucket",,
"Your customer wants to capture multiple GBs of aggregate real-time key performance indicators (KPIs) from their game servers running on Google Cloud Platform and monitor the KPIs with low latency. How should they capture the KPIs?
","Store time-series data from the game servers in Google Bigtable, and view it using Google Data Studio.","Schedule BigQuery load jobs to ingest analytics files uploaded to Cloud Storage every ten minutes, and visualize the results in Google Data Studio.","Insert the KPIs into Cloud Datastore entities, and run ad hoc analysis and visualizations of them in Cloud Datalab.",,"Output custom metrics to Stackdriver from the game servers, and create a Dashboard in Stackdriver Monitoring Console to view them.",,
"Your company places a high value on being responsive and meeting customer needs quickly. Their primary business objectives are release speed and agility. You want to reduce the chance of security errors being accidentally introduced.
Which two actions can you take? (Choose two.)
",Ensure every code check-in is peer reviewed by a security SME,Ensure you have stubs to unit test all interfaces between components,Enable code signing and a trusted binary repository integrated with your CI/CD pipeline,,Use source code security analyzers as part of the CI/CD pipeline,Run a vulnerability security scanner as part of your continuous-integration /continuous-delivery (CI/CD) pipeline,
"For this question, refer to the EHR Healthcare case study. You need to define the technical architecture for securely deploying workloads to Google Cloud. You also need to ensure that only verified containers are deployed using Google Cloud services. What should you do? (Choose two.)
",Configure Jenkins to utilize Kritis to cryptographically sign a container as part of a CI/CD pipeline.,Configure Container Registry to use vulnerability scanning to confirm that there are no vulnerabilities before deploying the workload.,,,"Enable Binary Authorization on GKE, and sign containers as part of a CI/CD pipeline.",Configure Container Registry to only allow trusted service accounts to create and deploy containers from the registry.,
"You are using Cloud CDN to deliver static HTTP(S) website content hosted on a Compute Engine instance group. You want to improve the cache hit ratio.
What should you do?
",Shorten the expiration time of the cached objects.,Make sure the HTTP(S) header ג€Cache-Regionג€ points to the closest region of your users.,Replicate the static content in a Cloud Storage bucket. Point CloudCDN toward a load balancer on that bucket.,,Customize the cache keys to omit the protocol from the key.,,
"Your company has a Google Cloud project that uses BigQuery for data warehousing. There are some tables that contain personally identifiable information (PII).
Only the compliance team may access the PII. The other information in the tables must be available to the data science team. You want to minimize cost and the time it takes to assign appropriate access to the tables. What should you do?
","1. From the dataset where you have the source data, create views of tables that you want to share, excluding PII. 2. Assign an appropriate project-level IAM role to the members of the data science team. 3. Assign access controls to the dataset that contains the view.","1. From the dataset where you have the source data, create materialized views of tables that you want to share, excluding PII. 2. Assign an appropriate project-level IAM role to the members of the data science team. 3. Assign access controls to the dataset that contains the view.","1. Create a dataset for the data science team. 2. Create materialized views of tables that you want to share, excluding PII. 3. Assign an appropriate project-level IAM role to the members of the data science team. 4. Assign access controls to the dataset that contains the view. 5. Authorize the view to access the source dataset.",,"1. Create a dataset for the data science team. 2. Create views of tables that you want to share, excluding PII. 3. Assign an appropriate project-level IAM role to the members of the data science team. 4. Assign access controls to the dataset that contains the view. 5. Authorize the view to access the source dataset.",,
"Your company provides a recommendation engine for retail customers. You are providing retail customers with an API where they can submit a user ID and the API returns a list of recommendations for that user. You are responsible for the API lifecycle and want to ensure stability for your customers in case the API makes backward-incompatible changes. You want to follow Google-recommended practices. What should you do?
",Create a distribution list of all customers to inform them of an upcoming backward-incompatible change at least one month before replacing the old API with the new API.,"Create an automated process to generate API documentation, and update the public API documentation as part of the CI/CD process when deploying an update to the API.",Use a versioning strategy for the APIs that adds the suffix ג€DEPRECATEDג€ to the current API version number on every backward-incompatible change. Use the current version number for the new API.,,Use a versioning strategy for the APIs that increases the version number on every backward-incompatible change.,,
"Your company has a Kubernetes application that pulls messages from Pub/Sub and stores them in Filestore. Because the application is simple, it was deployed as a single pod. The infrastructure team has analyzed Pub/Sub metrics and discovered that the application cannot process the messages in real time. Most of them wait for minutes before being processed. You need to scale the elaboration process that is I/O-intensive. What should you do?
",Use kubectl autoscale deployment APP_NAME --max 6 --min 2 --cpu-percent 50 to configure Kubernetes autoscaling deployment.,Configure a Kubernetes autoscaling deployment based on the subscription/push_request_latencies metric.,Use the --enable-autoscaling flag when you create the Kubernetes cluster.,,Configure a Kubernetes autoscaling deployment based on the subscription/num_undelivered_messages metric.,,
